patent_id	claim_sequence	claim_text	dependent	claim_number	exemplary
D942187	0	The ornamental design for a desk, as shown and described.		1	0
D942188	0	The ornamental design for an electric height adjustable gaming desk, as shown and described.		1	0
D942189	0	The ornamental design for a cabinet containing customized drawers for storing epi-pens, as shown and described.		1	0
D942190	0	The ornamental design for a support, as shown and described.		1	0
D942191	0	The ornamental design for a pocket watch stand, as shown and described.		1	0
D942192	0	We claim the ornamental design for a collapsible height adjustable table, as shown and described.		1	0
D942193	0	The ornamental design for a table top, as shown and described.		1	0
D942194	0	The ornamental design for a rolling stool with curved back support, as shown and described.		1	0
D942195	0	The ornamental design for a chair, as shown and described.		1	0
D942196	0	The ornamental design for a chair, as shown and described.		1	0
D942197	0	The ornamental design for a coffee maker, as shown and described.		1	0
D942198	0	The ornamental design for a beverage brewer, as shown and described.		1	0
D942199	0	The ornamental design for a coffee maker, as shown and described.		1	0
D942200	0	The ornamental design for a coffee maker, as shown and described.		1	0
D942201	0	The ornamental design for a vacuum flask, as shown and described.		1	0
D942202	0	The ornamental design for a metal brazier, as shown and described.		1	0
D942203	0	The ornamental design for a stove, as shown and described.		1	0
D942204	0	The ornamental design for steamer rack, as shown and described.		1	0
D942205	0	The ornamental design for a mini food processor, as shown and described.		1	0
D942206	0	The ornamental design for a lid for blender container, as shown and described.		1	0
D942207	0	The ornamental design for an airtight food storage container, as shown and described.		1	0
D942208	0	The ornamental design for a container lid, as shown and described.		1	0
D942209	0	The ornamental design for a bottle cap, as shown and described.		1	0
D942210	0	The ornamental design for a straw lid with handle, as shown and described.		1	0
D942211	0	The ornamental design for a container cap, as shown and described.		1	0
D942212	0	The ornamental design for a bottle lid, as shown and described.		1	0
D942213	0	The ornamental design for a dispenser, as shown and described.		1	0
D942214	0	The ornamental design for a “mountable tray,” as shown and described in FIGS. 1-7 .		1	0
D942215	0	The ornamental design for a grill pan lid, as shown and described.		1	0
D942216	0	The ornamental design for a drinking cup, as shown and described.		1	0
D942217	0	The ornamental design for a cup holder tray for sofa, as shown and described.		1	0
D942218	0	The ornamental design for a cooler, as shown and described.		1	0
D942219	0	The ornamental design for a container, as shown and described.		1	0
D942220	0	The ornamental design for a container, as shown and described.		1	0
D942221	0	The ornamental design for an insulating device, as shown and described.		1	0
D942222	0	The ornamental design for an insulating device, as shown and described.		1	0
D942223	0	The ornamental design for a cake pop carrier, as shown and described.		1	0
D942224	0	The ornamental design for an inverted bottle holder, as shown and described.		1	0
D942225	0	The ornamental design for a container boot, as shown and described.		1	0
D942226	0	The ornamental design for a garlic press, as shown and described.		1	0
D942227	0	The ornamental design for a food roasting device, as shown and described.		1	0
D942228	0	The ornamental design for a corn fork, as shown and described.		1	0
D942229	0	I claim the ornamental design for a holder, as shown and described.		1	0
D942230	0	The ornamental design for a fruit and vegetable basket, as shown and described.		1	0
D942231	0	The ornamental design for a bar set rack, as shown and described.		1	0
D942232	0	The ornamental design for a window tint applicator tool, as shown and described.		1	0
D942233	0	The ornamental design for a blade, as shown and described.		1	0
D942234	0	I claim the ornamental design for a scissors, as shown and described.		1	0
D942235	0	The ornamental design for a pair of scissors, as shown and described.		1	0
D942236	0	The ornamental design for a reinforcing bar binding machine body, as shown and described.		1	0
D942237	0	The ornamental design for a pneumatic nailer, as shown and described.		1	0
D942238	0	The ornamental design for a shower pipe removal tool, as shown and described.		1	0
D942239	0	The ornamental design for a door handle, as shown and described.		1	0
D942240	0	The ornamental design for a catch, as shown and described.		1	0
D942241	0	The ornamental design for an electronic lock, as shown and described.		1	0
D942242	0	The ornamental design for an electronic lock, as shown and described.		1	0
D942243	0	We claim the ornamental design for lock device, as shown and described.		1	0
D942244	0	I claim the ornamental design of a door hardware set, as shown and described.		1	0
D942245	0	I claim the ornamental design for a bracket, as shown and described.		1	0
D942246	0	The ornamental design for a connector, as shown and described.		1	0
D942247	0	The ornamental design for a flange, as shown and described.		1	0
D942248	0	The ornamental design for a flange, as shown and described.		1	0
D942249	0	The ornamental design for a flange, as shown and described.		1	0
D942250	0	The ornamental design for a flange, as shown and described.		1	0
D942251	0	The ornamental design for a flange, as shown and described.		1	0
D942252	0	The ornamental design for a spacer, as shown and described.		1	0
D942253	0	The ornamental design for a cable hanger, as shown and described.		1	0
D942254	0	I claim the ornamental design for “furniture leg cover”, as shown.		1	0
D942255	0	The ornamental design for a dovetail element for mirror frame attachment, as shown and described.		1	0
D942256	0	The ornamental design for a clip, as shown and described.		1	0
D942257	0	The ornamental design for a clip, as shown and described.		1	0
D942258	0	The ornamental design for a peephole frame, as shown and described.		1	0
D942259	0	The ornamental design for a supplement container with surface ornamentation, as shown and described.		1	0
D942260	0	The ornamental design for a supplement container with surface ornamentation, as shown and described.		1	0
D942261	0	The ornamental design of the parts hanger, as shown and described.		1	0
D942262	0	The ornamental design for a foldable wallet package, as shown and described.		1	0
D942263	0	The ornamental design for a packing and cover set for implantable article, as shown and described.		1	0
D942264	0	The ornamental design for a toothpaste carton, as shown and described.		1	0
D942265	0	The ornamental design for a portion of a container, as shown and described.		1	0
D942266	0	The ornamental design for a package, as shown and described.		1	0
D942267	0	The ornamental design for food product packaging, as shown and described.		1	0
D942268	0	The ornamental design for packaging, as shown and described.		1	0
D942269	0	The ornamental design for a tab, as shown and described.		1	0
D942270	0	The ornamental design for a plug for a beverage container lid, as shown and described.		1	0
D942271	0	The ornamental design for a detergent bottle pump head, as shown and described.		1	0
D942272	0	The ornamental design for a bottle stopper, as shown and described.		1	0
D942273	0	The ornamental design for a bottle cap, as shown and described.		1	0
D942274	0	The ornamental design for a bottle, as shown and described.		1	0
D942275	0	I claim the ornamental design for a bottle, as shown and described.		1	0
D942276	0	The ornamental design for a combined charger with packaging, as shown and described.		1	0
D942277	0	The ornamental design for a wearable device, as shown and described.		1	0
D942278	0	The ornamental design for a wristwatch, as shown and described.		1	0
D942279	0	The ornamental design for a metal detector, as shown and described.		1	0
D942280	0	The ornamental design for a hand-off-auto (HOA) button arrangement, as shown and described.		1	0
D942281	0	The ornamental design for an air quality monitoring device, as shown and described.		1	0
D942282	0	The ornamental design for a hygrothermograph, as shown and described.		1	0
D942283	0	The ornamental design for a remote controller for air conditioner, as shown and described.		1	0
D942284	0	The ornamental design for a motion sensor, as shown and described.		1	0
D942285	0	The ornamental design for a motion sensor, as shown and described.		1	0
D942286	0	The ornamental design for a motion sensor, as shown and described.		1	0
D942287	0	The ornamental design for a signal detector, as shown and described.		1	0
D942288	0	The ornamental design for an auto diagnostic tool, as shown and described.		1	0
D942289	0	The ornamental design for an OBDII diagnostic interface, as shown and described.		1	0
D942290	0	The ornamental design for a tip for integrated circuit test pin, as shown and described.		1	0
D942291	0	The ornamental design for an electronic balance, as shown and described.		1	0
D942292	0	The ornamental design for a differential pressure transmitter, as shown and described.		1	0
D942293	0	The ornamental design for a cyclist indicator, as shown and described.		1	0
D942294	0	The ornamental design for an enclosure for a security system controller, as shown and described.		1	0
D942295	0	The ornamental design for an enclosure for a security system controller, as shown and described.		1	0
D942296	0	The ornamental design for a multimedia anti-tampering device, as shown and described.		1	0
D942297	0	The ornamental design for a dial, as shown and described.		1	0
D942298	0	The ornamental design for a wearable device, as shown and described.		1	0
D942299	0	The ornamental design for a necklace, as shown and described.		1	0
D942300	0	The ornamental design for a bracelet, as shown and described.		1	0
D942301	0	The ornamental design for a bracelet, as shown and described.		1	0
D942302	0	The ornamental design for a finger ring, as shown and described.		1	0
D942303	0	The ornamental design for a ring, as shown and described.		1	0
D942304	0	The ornamental design for a pair of earrings, as shown and described.		1	0
D942305	0	The ornamental design for a pair of earrings, as shown and described.		1	0
D942306	0	The ornamental design for a pair of earrings, as shown and described.		1	0
D942307	0	The ornamental design for an earring, as shown and described.		1	0
D942308	0	The ornamental design for a pair of earrings, as shown and described.		1	0
D942309	0	The ornamental design for an article of jewelry, as shown and described.		1	0
D942310	0	The ornamental design for a decorative connector, as shown and described.		1	0
D942311	0	The ornamental design for a gnome, as shown and described.		1	0
D942312	0	The ornamental design for a tree collar, as shown and described.		1	0
D942313	0	The ornamental design for a Christmas tree skirt, as shown and described.		1	0
D942314	0	The ornamental design for a planter urn, as shown and described.		1	0
D942315	0	The ornamental design for a decorative ornament with surface ornamentation, as shown and described.		1	0
D942316	0	The ornamental design for a decorative ornament with surface ornamentation, as shown and described.		1	0
D942317	0	The ornamental design for a hook for belt buckles, as shown and described.		1	0
D942318	0	The ornamental design for a belt buckle, as shown and described.		1	0
D942319	0	The ornamental design for an amphibian vehicle, as shown and described.		1	0
D942320	0	I claim the ornamental design for a track for traction of a vehicle, as shown and described.		1	0
D942321	0	The ornamental design for an unmanned aircraft, as shown and described.		1	0
D942322	0	The ornamental design for an assembly mountable to locomotive handrailing, as shown and described.		1	0
D942323	0	The ornamental design for a car with surface ornamentation, as shown and described.		1	0
D942324	0	The ornamental design for a car with surface ornamentation, as shown and described.		1	0
D942325	0	The ornamental design for a car with surface ornamentation, as shown and described.		1	0
D942326	0	The ornamental design for a car with surface ornamentation, as shown and described.		1	0
D942327	0	The ornamental design for a car body, toy car body replica and/or other replica, as shown and described.		1	0
D942328	0	The ornamental design for a vehicle, as shown and described.		1	0
D942329	0	The ornamental design for a retractable awning and room combination, as shown and described.		1	0
D942330	0	The ornamental design for a travel trailer, as shown and described.		1	0
D942331	0	The ornamental design for a portable blowup underpinning for trailers, as shown and described.		1	0
D942332	0	The ornamental design for a roof rack cross bar extrusion, as shown and described.		1	0
D942333	0	The ornamental design for a motorcycle flagpole mount, as shown and described.		1	0
D942334	0	The ornamental design for a trailer hitch ball mount, as shown and described.		1	0
D942335	0	The ornamental design for a trailer hitch ball mount, as shown and described.		1	0
D942336	0	The ornamental design for a grille for a vehicle, as shown and described.		1	0
D942337	0	The ornamental design for a vehicle bumper, as shown and described.		1	0
D942338	0	The ornamental design for a spoiler for motor vehicle, as shown and described.		1	0
D942339	0	The ornamental design for a spoiler for motor vehicle, as shown and described.		1	0
D942340	0	The ornamental design for a fender component for vehicle, as shown and described.		1	0
D942341	0	The ornamental design for a cabin for automobile, as shown and described.		1	0
D942342	0	The ornamental design for an instrument panel for an automobile, as shown and described.		1	0
D942343	0	The ornamental design for a motorcycle muffler, as shown and described.		1	0
D942344	0	We claim the ornamental design for the set of vehicle components, as shown and described.		1	0
D942345	0	I claim the ornamental design for an automotive wheel, as shown and described.		1	0
D942346	0	The ornamental design for a wheel for an automobile, as shown and described.		1	0
D942347	0	The ornamental design for a wheel for an automobile, as shown and described.		1	0
D942348	0	The ornamental design for a vehicle wheel front face, as shown and described.		1	0
D942349	0	The ornamental design for a wheel front face, as shown and described.		1	0
D942350	0	The ornamental design for an automotive wheel, as shown and described.		1	0
D942351	0	The ornamental design for an automotive wheel, as shown and described.		1	0
D942352	0	The ornamental design for an automotive wheel, as shown and described.		1	0
D942353	0	The ornamental design for an automotive wheel, as shown and described.		1	0
D942354	0	The ornamental design for an automotive wheel, as shown and described.		1	0
D942355	0	The ornamental design for an automotive wheel, as shown and described.		1	0
D942356	0	The ornamental design for a vehicle wheel rim, as shown and described.		1	0
D942357	0	The ornamental design for a wheel for vehicles, as shown and described.		1	0
D942358	0	The ornamental design for a wheel for vehicles, as shown and described.		1	0
D942359	0	The ornamental design for a wheel for vehicles, as shown and described.		1	0
D942360	0	The ornamental design for a wheel front face, as shown and described.		1	0
D942361	0	The ornamental design for a boat, as shown and described.		1	0
D942362	0	The ornamental design for an “attendant module”, as shown and described in FIGS. 1-20 .		1	0
D942363	0	The ornamental design for a car windshield snow cover, as shown and described.		1	0
D942364	0	I claim the ornamental design for a secondary containment structure for vehicles with handles, as shown and described.		1	0
D942365	0	The ornamental design for a storage net bag between vehicle seats, as shown and described.		1	0
D942366	0	The ornamental design for a trunk organizer, as shown and described.		1	0
D942367	0	The ornamental design for a tire, as shown and described.		1	0
D942368	0	The ornamental design for a “tread portion of a vehicle tire,” as shown and described.		1	0
D942369	0	The ornamental Design for a shoulder for a tire, as shown and described.		1	0
D942370	0	The ornamental design for a solar cell wafer, as shown and described.		1	0
D942371	0	The ornamental design for a battery, as shown and described.		1	0
D942372	0	The ornamental design for a battery, as shown and described.		1	0
D942373	0	The ornamental design for a battery pack, as shown and described.		1	0
D942374	0	The ornamental design for a power bank, as shown and described.		1	0
D942375	0	The ornamental design for a battery tray for electric power unit, as shown and described.		1	0
D942376	0	The ornamental design for a jump starter, as shown and described.		1	0
D942377	0	The ornamental design for a electrical supply box, as shown and described.		1	0
D942378	0	The ornamental design for a charger for vehicles driven electrically, as shown and described.		1	0
D942379	0	I claim the ornamental design for a charger, as shown and described.		1	0
D942380	0	The ornamental design for a charging stand, as shown and described.		1	0
D942381	0	The ornamental design for a box for storing and charging camera batteries, as shown and described.		1	0
D942382	0	The ornamental design for a device charging cradle, as shown and described.		1	0
D942383	0	The ornamental design for a charging head, as shown and described.		1	0
D942384	0	The ornamental design for a charger plug, as shown and described.		1	0
D942385	0	The ornamental design for a charging head, as shown and described.		1	0
D942386	0	The ornamental design for an earphone charging case, as shown and described.		1	0
D942387	0	The ornamental design for an earphone charging case, as shown and described.		1	0
D942388	0	The ornamental design for a power adapter, as shown and described.		1	0
D942389	0	The ornamental design for a wireless charger, as shown and described.		1	0
D942390	0	The ornamental design for a charging case, as shown and described.		1	0
D942391	0	The ornamental design for a portable power supply, as shown and described.		1	0
D942392	0	The ornamental design for a high power module for controller of transport climate control system, as shown and described.		1	0
D942393	0	The ornamental design for a coil component, as shown and described.		1	0
D942394	0	I claim the ornamental design for a battery box, as shown and described.		1	0
D942395	0	The ornamental design for a double USB C wiring connector, as shown and described.		1	0
D942396	0	The ornamental design for a cover for electric switch, as shown and described.		1	0
D942397	0	The ornamental design for an adapter, as shown and described.		1	0
D942398	0	The ornamental design for an uninterruptible power supply, as shown and described.		1	0
D942399	0	The ornamental design for a connector, as shown and described.		1	0
D942400	0	The ornamental design for a connector, as shown and described.		1	0
D942401	0	The ornamental design for an electrical apparatus with a line side isolation safety switch, as shown and described.		1	0
D942402	0	The ornamental design for a junction box, as shown and described.		1	0
D942403	0	We claim the ornamental design for a power module having pin fins, as shown and described.		1	0
D942404	0	The ornamental design for a semiconductor module, as shown and described.		1	0
D942405	0	The ornamental design for a semiconductor module, as shown and described.		1	0
D942406	0	The ornamental design for an electric terminal, as shown and described.		1	0
D942407	0	We claim the ornamental design for an electronic device, as shown and described.		1	0
D942408	0	The ornamental design for a wireless receiver, as shown and described.		1	0
D942409	0	The ornamental design for a lamp with an audio broadcast function, as shown and described.		1	0
D942410	0	The ornamental design for a lamp with an audio broadcast function, as shown and described.		1	0
D942411	0	The ornamental design for a lamp with an audio broadcast function, as shown and described.		1	0
D942412	0	The ornamental design for a lamp with an audio broadcast function, as shown and described.		1	0
D942413	0	The ornamental design for a wireless neckband, as shown and described.		1	0
D942414	0	The ornamental design for a headphone, as shown and described.		1	0
D942415	0	The ornamental design for a wireless speaker, as shown and described.		1	0
D942416	0	The ornamental design for a bluetooth speaker, as shown and described.		1	0
D942417	0	The ornamental design for a sound bar, as shown and described.		1	0
D942418	0	The ornamental design for a sound bar, as shown and described.		1	0
D942419	0	The ornamental design for a sound bar, as shown and described.		1	0
D942420	0	The ornamental design for a sound bar, as shown and described.		1	0
D942421	0	The ornamental design for the remote control, as shown and described.		1	0
D942422	0	The ornamental design for the remote control, as shown and described.		1	0
D942423	0	The ornamental design for a wireless earbud, a shown and described.		1	0
D942424	0	The ornamental design for a pair of earphones, as shown and described.		1	0
D942425	0	The ornamental design for earphones, as shown and described.		1	0
D942426	0	The ornamental design for a bone-conduction earphone, as shown and described.		1	0
D942427	0	The ornamental design for an earphone, as shown and described.		1	0
D942428	0	The ornamental design for a microphone, as shown and described.		1	0
D942429	0	The ornamental design for a round antenna with wings, as shown and described.		1	0
D942430	0	The ornamental design for an antenna array, as shown and described.		1	0
D942431	0	The ornamental design for a digital TV antenna, as shown and described.		1	0
D942432	0	The ornamental design for an antenna clip, as shown.		1	0
D942433	0	The ornamental design for an antenna clip, as shown.		1	0
D942434	0	The ornamental design for a monitor wall mount apparatus, as shown and described.		1	0
D942435	0	The ornamental design for a display mount, as shown and described.		1	0
D942436	0	The ornamental design for a WiFi repeater, as shown and described.		1	0
D942437	0	The ornamental design for a mobile phone, as shown and described.		1	0
D942438	0	The ornamental design for a bumper for electronic communications device, as shown and described.		1	0
D942439	0	The ornamental design for a case for a smartphone, as shown and described.		1	0
D942440	0	The ornamental design for a mount for securing a portable device, as shown and described.		1	0
D942441	0	The ornamental design for an electronic device, as shown and described.		1	0
D942442	0	The ornamental design for a multiple head transaction device, as shown and described.		1	0
D942443	0	The ornamental design for a notebook computer with dual display screen, as shown and described.		1	0
D942444	0	We claim the ornamental design for an information handling system, as shown and described.		1	0
D942445	0	The ornamental design for a notebook computer, as shown and described.		1	0
D942446	0	The ornamental design for a keyboard with stand, as shown and described.		1	0
D942447	0	The ornamental design for an electronic console, as shown and described.		1	0
D942448	0	The ornamental design for an internet of things hub, as shown and described.		1	0
D942449	0	I claim, the ornamental design for a virtual reality viewer, as shown and described.		1	0
D942450	0	The ornamental design for a VR or AR head-mounted display device, as shown and described.		1	0
D942451	0	The ornamental design for an access controller, as shown and described.		1	0
D942452	0	We claim the ornamental design for the card reader, as shown and described.		1	0
D942453	0	The ornamental design for a pencil, as shown and described.		1	0
D942454	0	The ornamental design for a hand worn saddle for supporting an electronic module, as shown and described.		1	0
D942455	0	The ornamental design for a docking station, as shown and described.		1	0
D942456	0	The ornamental design for a portable electronic device case, as shown and described.		1	0
D942457	0	The ornamental design for a shell of electronic device, as shown and described.		1	0
D942458	0	The ornamental design for a teach pendant bumper, as shown and described.		1	0
D942459	0	The ornamental design for a case for portable display device, as shown and described.		1	0
D942460	0	The ornamental design for a cover, as shown and described.		1	0
D942461	0	The ornamental design for a CPU holder, as shown and described.		1	0
D942462	0	The ornamental design for a computer desk, as shown and described.		1	0
D942463	0	The ornamental design for a laptop stand, as shown and described.		1	0
D942464	0	The ornamental design for a cat claw shaped mouse pad, as shown and described.		1	0
D942465	0	The ornamental design for a mouse pad, as shown and described.		1	0
D942466	0	The ornamental design for a display screen or portion thereof with transitional graphical user interface, as shown and described.		1	0
D942467	0	The ornamental design for a wearable device screen presenting a graphical user interface, as shown and described.		1	0
D942468	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942469	0	We claim the ornamental design for a display screen or portion thereof with a graphical user interface, as shown and described.		1	0
D942470	0	The ornamental design for a display or portion thereof with animated graphical user interface, as shown and described.		1	0
D942471	0	The ornamental design for a display screen or portion thereof including a graphical user interface, as shown and described.		1	0
D942472	0	We claim the ornamental design for a display screen with a graphical user interface, as shown and described.		1	0
D942473	0	The ornamental design for a display or portion thereof with animated graphical user interface, as shown and described.		1	0
D942474	0	The ornamental design for a display screen or portion thereof with animated graphical user interface, as shown and described.		1	0
D942475	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942476	0	The ornamental design for a display screen or portion thereof with a graphical user interface for an on-board device, as shown and described.		1	0
D942477	0	The ornamental design for a display screen or portion thereof with a graphical user interface for an on-board device, as shown and described.		1	0
D942478	0	The ornamental design for a display screen or portion thereof with a graphical user interface for an on-board device, as shown and described.		1	0
D942479	0	The ornamental design for a blot and gel imaging instrument display screen with graphical user interface, as shown and described.		1	0
D942480	0	The ornamental design for an electronic device with graphical user interface, as shown and described.		1	0
D942481	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942482	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942483	0	The ornamental design for an electronic display for a wearable device presenting a graphical user interface, as shown and described.		1	0
D942484	0	The ornamental design for an electronic display for a wearable device presenting a graphical user interface, as shown and described.		1	0
D942485	0	The ornamental design for a display screen portion with graphical user interface for augmented reality, as shown and described.		1	0
D942486	0	I claim the ornamental design for a display screen or a portion thereof with construction-focused graphical user interface, as shown and described.		1	0
D942487	0	I claim the ornamental design for a display screen or a portion thereof with construction costs-focused graphical user interface, as shown and described.		1	0
D942488	0	I claim the ornamental design for a display screen or a portion thereof with construction contracts-focused graphical user interface, as shown and described.		1	0
D942489	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942490	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942491	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942492	0	The ornamental design for a display screen or portion thereof with a group of graphical user interfaces, as shown and described.		1	0
D942493	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942494	0	The ornamental design for a display screen or portion thereof with animated graphical user interface, as shown and described.		1	0
D942495	0	The ornamental design for a display screen or portion thereof with transitional graphical user interface, as shown and described.		1	0
D942496	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942497	0	We claim the ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942498	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942499	0	We claim the ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942500	0	The ornamental design for a display panel with graphical user interface, as shown and described.		1	0
D942501	0	We claim the ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942502	0	We claim the ornamental design for a display screen or portion thereof with icon, as shown and described.		1	0
D942503	0	The ornamental design for a computer with animated graphical user interface, as shown and described.		1	0
D942504	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942505	0	The ornamental design for a display screen with graphical user interface, as shown and described.		1	0
D942506	0	We claim the ornamental design for a display screen or portion thereof with icon, as shown and described.		1	0
D942507	0	The ornamental design for a display screen with graphical user interface, as shown and described.		1	0
D942508	0	The ornamental design for a display panel or screen with an animated graphical user interface, as shown and described.		1	0
D942509	0	The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.		1	0
D942510	0	We claim the ornamental design for an electric drive unit, as shown and described.		1	0
D942511	0	I claim the ornamental design for a macerator pump, as shown and described.		1	0
D942512	0	We claim the ornamental design for pump part, as shown and described.		1	0
D942513	0	The ornamental design for a hood for construction machinery, as shown and described.		1	0
D942514	0	The ornamental designs for an ice cube tray, as shown, and described.		1	0
D942515	0	The ornamental design for an ice tray, as shown and described.		1	0
D942516	0	The ornamental design for a process shield for a substrate processing chamber, as shown and described.		1	0
D942517	0	The ornamental design for an auger drill bit, as shown and described.		1	0
D942518	0	We claim the ornamental design for a two-wheel car robot, as shown and described.		1	0
D942519	0	What is claimed is the ornamental design for a mobile robotic security device, as shown.		1	0
D942520	0	The ornamental design for a surgical microscope with stand, as shown and described.		1	0
D942521	0	The ornamental design for a combined camera and light device, as shown and described.		1	0
D942522	0	The ornamental design for a digital camera, as shown and described.		1	0
D942523	0	The ornamental design for a digital camera, as shown and described.		1	0
D942524	0	The ornamental design for a solar monitoring camera, as shown and described.		1	0
